,,2/15/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026,2/22/2026,2/22/2026,2/15/2026,2/22/2026,2/22/2026
Basin,Elevation Band,%2/15 Avg.,%2/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
28. Upper Colorado-Dolores,"10,000-11,000'",44,63,3.5,5.2,67.3,"77,656",278.1,6.1 ( 4 ),8.9 ( 4 ),9.2
28. Upper Colorado-Dolores,"11,000-12,000'",53,67,5.9,8.1,79.2,"53,077",123.5,9.5 ( 1 ),12.4 ( 1 ),10.7
28. Upper Colorado-Dolores,"12,000-13,000'",57,67,8.4,10.5,88.7,"21,259",37.8,NA,NA,8.6
28. Upper Colorado-Dolores,"13,000-14,000'",61,63,10,11,93.8,"1,980",3.4,NA,NA,6.2
29. Upper Sevier,"6,000-7,000'",0,6,0,0.2,13.5,"9,628",843.9,NA,NA,1.2
29. Upper Sevier,"7,000-8,000'",3,14,0.1,0.7,25.8,"45,267","1,292.30",0.7 ( 2 ),2.3 ( 2 ),1.5
29. Upper Sevier,"8,000-9,000'",11,29,0.7,1.9,36.1,"92,488",935.6,2.2 ( 5 ),3.9 ( 5 ),2.8
29. Upper Sevier,"9,000-10,000'",39,59,3.1,5,59.7,"140,104",526.7,4.2 ( 8 ),6.3 ( 8 ),5.2
29. Upper Sevier,"10,000-11,000'",64,86,5.7,8.2,83.5,"69,621",159.2,5.5 ( 1 ),7.1 ( 1 ),7.2
29. Upper Sevier,"11,000-12,000'",63,77,7.7,9.8,87.2,"5,272",10,NA,NA,6.7
30. Verde,"6,000-7,000'",0,29,0,0.4,14.8,"25,452","1,302.50",0.2 ( 1 ),2.2 ( 1 ),0.6
30. Verde,"7,000-8,000'",0,18,0,0.6,27.1,"16,568",495.6,0.4 ( 6 ),2.3 ( 6 ),1.3
30. Verde,"8,000-9,000'",0,32,0,1.7,43,"1,747",19.4,NA,NA,1.7
30. Verde,"9,000-10,000'",6,21,0.4,1.7,27.1,185,2,NA,NA,3.1
30. Verde,">10,000'",6,0,0.5,0,0,0,1.2,NA,NA,10.1
31. Weber-Ogden,"5,000-6,000'",1,8,0.1,0.4,12.8,"6,339",288.1,NA,NA,0.9
31. Weber-Ogden,"6,000-7,000'",5,20,0.4,1.5,33,"57,953",713.6,2.0 ( 2 ),2.7 ( 2 ),1.3
31. Weber-Ogden,"7,000-8,000'",29,46,2.8,4.6,71.1,"167,490",677.5,6.9 ( 7 ),7.7 ( 8 ),3.8
31. Weber-Ogden,"8,000-9,000'",57,70,6.8,8.6,93,"108,469",235.3,7.8 ( 5 ),9.7 ( 5 ),9.2
31. Weber-Ogden,"9,000-10,000'",63,79,7.9,10.4,91.2,"54,675",99,9.0 ( 2 ),11.7 ( 2 ),11.5
31. Weber-Ogden,">10,000'",67,81,9.4,11.7,88.7,"20,593",33,NA,NA,13.5
32. White-Yampa,"7,000-8,000'",29,31,1.9,2.1,34.6,"383,898","3,361.90",4.0 ( 1 ),4.5 ( 1 ),1.4
32. White-Yampa,"8,000-9,000'",54,59,4.7,5.5,76.3,"425,889","1,449.70",7.6 ( 6 ),8.8 ( 6 ),5
32. White-Yampa,"9,000-10,000'",57,71,5.8,7.7,83.6,"291,586",706.6,9.2 ( 7 ),10.3 ( 7 ),9
32. White-Yampa,"10,000-11,000'",57,73,6.9,9.5,87.6,"179,687",354.1,9.9 ( 1 ),10.8 ( 1 ),12.6
32. White-Yampa,">11,000'",59,73,8.5,11.4,95.7,"48,690",80.2,7.9 ( 1 ),10.5 ( 1 ),11.3
33. Animas,"7,000-8,000'",0,12,0,0.4,31.8,"3,193",161.3,NA,NA,0.7
33. Animas,"8,000-9,000'",1,17,0,1,34.1,"7,133",135.9,1.3 ( 1 ),3.8 ( 1 ),2.1
33. Animas,"9,000-10,000'",4,31,0.3,2.2,47.3,"21,444",178.9,NA,NA,4.8
33. Animas,"10,000-11,000'",28,51,2.4,4.5,59.7,"42,817",178.4,6.1 ( 3 ),8.5 ( 3 ),7.7
33. Animas,"11,000-12,000'",54,71,6.3,8.7,84.3,"70,482",151.1,6.8 ( 2 ),9.2 ( 2 ),9.8
33. Animas,"12,000-13,000'",60,73,8.3,10.6,92.8,"62,602",110.7,NA,NA,8.9
33. Animas,"13,000-14,000'",64,72,9.3,11.2,93.3,"3,732",6.3,NA,NA,6.5
