,,2/22/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,2/22/2026,3/1/2026,3/1/2026,3/1/2026
Basin,Elevation Band,%2/22 Avg.,%3/1 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,Surveys,SNODAS (in.)*
32. White-Yampa,"9,000-10,000'",71,72,7.7,8.8,80.4,"332,131",706.6,10.3 ( 7 ),11.5 ( 7 ),NA,9.5
32. White-Yampa,"10,000-11,000'",73,77,9.5,11,82.1,"208,280",354.1,10.8 ( 1 ),11.9 ( 1 ),NA,13.4
32. White-Yampa,">11,000'",73,76,11.4,13,92,"55,404",80.2,10.5 ( 1 ),11.4 ( 1 ),NA,11.9
33. Animas,"7,000-8,000'",12,4,0.4,0.1,10.1,"1,114",161.3,NA,NA,NA,0
33. Animas,"8,000-9,000'",17,25,1,1.4,52.6,"9,901",135.9,3.8 ( 1 ),2.7 ( 1 ),NA,0.8
33. Animas,"9,000-10,000'",31,45,2.2,3.4,73.9,"32,352",178.9,NA,NA,NA,3.9
33. Animas,"10,000-11,000'",51,59,4.5,5.8,70.5,"55,167",178.4,8.5 ( 3 ),8.2 ( 3 ),NA,7.5
33. Animas,"11,000-12,000'",71,73,8.7,10.1,84.2,"81,133",151.1,9.2 ( 2 ),9.2 ( 2 ),NA,9.9
33. Animas,"12,000-13,000'",73,73,10.6,11.8,86.6,"69,708",110.7,NA,NA,NA,8.5
33. Animas,"13,000-14,000'",72,74,11.2,12.4,85.6,"4,152",6.3,NA,NA,NA,4.8
