,,3/15/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026,3/22/2026,3/22/2026,3/15/2026,3/22/2026,3/22/2026
Basin,Elevation Band,%3/15 Avg.,%3/22 Avg.,SWE (in),SWE (in),%SCA,Vol (AF),Area (mi2),Pillows,Pillows,SNODAS (in.)*
30. Salmon Basin,"9,000-10,000'",118,109,16.9,16.5,81.6,"442,002",502.6,15.2 ( 1 ),15.0 ( 1 ),14.1
30. Salmon Basin,"10,000-11,000'",121,113,17.1,17.1,63.1,"64,999",71.3,NA,NA,8.4
30. Salmon Basin,"11,000-12,000'",123,121,17.7,18.3,63.3,"3,014",3.1,NA,NA,2.2
31. Silver,"5,000-6,000'",7,0,0.2,0,0,36,440.7,NA,NA,0
31. Silver,"6,000-7,000'",22,4,1.7,0.3,7.9,61,3.6,NA,NA,0
32. Silvies,"4,000-5,000'",1,0,0,0,0,0,714.7,NA,NA,0
32. Silvies,"5,000-6,000'",10,0,0.6,0,0.2,354,569.1,0.0 ( 1 ),0.0 ( 1 ),0
32. Silvies,"6,000-7,000'",38,18,3.6,1.7,24.2,"2,842",31.9,5.9 ( 1 ),3.0 ( 1 ),1.2
32. Silvies,"7,000-8,000'",106,92,19.3,17.5,99.9,"1,621",1.7,NA,NA,6.3
33. Southern Snake Basins,"5,000-6,000'",1,0,0,0,0,0,"8,155.90",0.0 ( 1 ),0.0 ( 1 ),0
33. Southern Snake Basins,"6,000-7,000'",8,0,0.4,0,0.2,"2,652","3,288.10",0.0 ( 5 ),0.0 ( 5 ),0
33. Southern Snake Basins,"7,000-8,000'",35,7,3.5,0.6,7.5,"31,142",905.4,2.9 ( 2 ),0.5 ( 4 ),0.3
33. Southern Snake Basins,"8,000-9,000'",64,42,8.8,5.6,55.2,"50,535",168.8,11.8 ( 3 ),10.3 ( 3 ),6.2
33. Southern Snake Basins,"9,000-10,000'",78,65,12.7,10.9,73.9,"19,295",33.1,NA,NA,14.5
33. Southern Snake Basins,"10,000-11,000'",92,77,14.9,13.4,65.5,895,1.3,NA,NA,22.5
34. Spokane,"3,000-4,000'",65,63,1,0.8,15.2,"70,423","1,667.20",4.2 ( 1 ),2.8 ( 1 ),1.6
34. Spokane,"4,000-5,000'",116,95,4.8,3.9,42,"207,514","1,010.00",10.8 ( 5 ),9.3 ( 5 ),9
34. Spokane,"5,000-6,000'",183,154,12.8,11.8,73.3,"263,697",418,17.4 ( 2 ),16.4 ( 2 ),20.3
34. Spokane,"6,000-7,000'",228,203,20.1,20.2,92.2,"51,000",47.4,NA,NA,29.5
34. Spokane,"7,000-8,000'",183,173,22.6,23.8,100,245,0.2,NA,NA,38.2
35. St. Mary,"4,000-5,000'",134,103,6.5,5.1,49.3,"50,039",184.7,4.3 ( 1 ),0.7 ( 1 ),0.5
35. St. Mary,"5,000-6,000'",123,100,9.5,8.4,66.4,"94,152",210.7,NA,NA,5.3
35. St. Mary,"6,000-7,000'",158,137,15.5,15.3,74.2,"125,450",154.2,NA,NA,17.7
35. St. Mary,"7,000-8,000'",175,157,18,18,75.7,"94,388",98.3,NA,NA,14.7
35. St. Mary,">8,000'",193,176,18.4,19,74.7,"20,546",20.3,NA,NA,14.3
36. Truckee,"5,000-6,000'",8,0,0.1,0,0,63,688.2,NA,NA,0.2
36. Truckee,"6,000-7,000'",21,6,2,0.5,6.4,"12,240",484.5,7.1 ( 5 ),4.9 ( 5 ),1.2
36. Truckee,"7,000-8,000'",40,21,6.9,3.5,39.5,"36,438",195.9,8.4 ( 1 ),2.9 ( 1 ),3.6
36. Truckee,"8,000-9,000'",57,32,12.9,7.3,72.9,"23,350",59.9,18.0 ( 3 ),13.2 ( 3 ),10.9
36. Truckee,"9,000-10,000'",65,36,16,9.2,81.2,"6,971",14.2,NA,NA,18.5
36. Truckee,"10,000-11,000'",61,38,14.3,9.8,79.4,452,0.9,NA,NA,22.2
37. Umatilla-Walla Walla-Willow,"3,000-4,000'",2,1,0,0,0.2,336,892.5,0.0 ( 1 ),0.0 ( 1 ),0
37. Umatilla-Walla Walla-Willow,"4,000-5,000'",21,14,1,0.6,10.6,"15,279",472.7,5.2 ( 2 ),3.8 ( 2 ),0.7
37. Umatilla-Walla Walla-Willow,"5,000-6,000'",62,47,7.1,5.3,54.5,"19,361",69.1,13.1 ( 3 ),11.2 ( 3 ),5.5
38. Upper Humboldt,"5,000-6,000'",0,0,0,0,0,0,"2,395.90",NA,NA,0
38. Upper Humboldt,"6,000-7,000'",0,0,0,0,0,33,"1,944.70",0.4 ( 1 ),0.0 ( 1 ),0
38. Upper Humboldt,"7,000-8,000'",20,5,1.8,0.4,5.8,"9,342",436.8,2.5 ( 2 ),0.2 ( 2 ),0.1
38. Upper Humboldt,"8,000-9,000'",53,33,7,4.3,47.5,"34,644",150.5,5.8 ( 5 ),3.1 ( 5 ),2
38. Upper Humboldt,"9,000-10,000'",69,55,11,9.1,67.4,"42,288",87.2,NA,NA,5
38. Upper Humboldt,">10,000'",78,66,12.7,11.3,67.5,"12,591",20.8,NA,NA,7.1
39. Walker,"6,000-7,000'",1,0,0,0,0,0,677,NA,NA,0
39. Walker,"7,000-8,000'",8,3,0.4,0.1,2.3,"4,008",618.8,0.2 ( 1 ),0.0 ( 1 ),0
39. Walker,"8,000-9,000'",26,18,2.8,1.7,26.3,"34,597",373.7,10.6 ( 2 ),8.4 ( 2 ),1.1
39. Walker,"9,000-10,000'",57,33,10,6.1,60.8,"60,890",186.6,17.9 ( 4 ),15.0 ( 4 ),8.7
39. Walker,"10,000-11,000'",67,39,14.1,8.8,67.1,"34,981",74.8,NA,NA,10.8
39. Walker,">11,000'",68,45,11.5,8.3,60.8,"5,267",12,NA,NA,8.5
40. West Central Basins,"4,000-5,000'",18,4,1.1,0.2,3.5,"16,390","1,578.50",0.0 ( 3 ),0.0 ( 3 ),0
40. West Central Basins,"5,000-6,000'",45,25,4.7,2.4,32.7,"221,272","1,710.20",7.3 ( 3 ),3.5 ( 3 ),1.6
40. West Central Basins,"6,000-7,000'",80,61,11.9,8.9,75.8,"601,860","1,262.20",16.5 ( 8 ),15.1 ( 8 ),8.5
40. West Central Basins,"7,000-8,000'",96,84,17.4,15.6,92.9,"677,020",814.3,21.6 ( 3 ),20.1 ( 3 ),16.7
40. West Central Basins,"8,000-9,000'",99,92,20.5,19.8,89.8,"310,143",293.5,NA,NA,21.4
40. West Central Basins,">9,000'",103,99,22.6,22.8,84.6,"52,715",43.4,NA,NA,23.8
